"","text","chapitre"
"1","Her voice wheezed and twanged like an untuned baliset .","1"
"2","What's a gom jabbar?  .","1"
"3"," She nodded .","1"
"4","    Pain .","1"
"5","    Pain! .","1"
"6","    But the pain -- he said .","1"
"7","You did that to my mother once?  .","1"
"8","And that's all there is to it -- pain? .","1"
"9","My son lives, she thought .","1"
"10","    Politics, he said .","1"
"11","A basso voice rumbled out of the chuckle: There it is, Piter -- the biggest mantrap in all history .","2"
"12","Ah, hah! But you see, Baron, I know as a Mentat when you will send the executioner .","2"
"13","You were wrong, eh, Mentat? .","2"
"14","    Are my pleasures too expensive, Baron? Do you object to them? .","2"
"15","Get on with it, Piter .","2"
"16","Yueh, who is indeed our agent .","2"
"17","    Go ahead, tell him all of it, the Baron said .","2"
"18","No hint of this must ever reach another Great House, else the Landsraad might unite against the Imperial House and there'd be chaos .","2"
"19","To begin, we'll have an irrevocable directorship in the CHOAM Company .","2"
"20","    The Baron moved out and away from the globe of Arrakis .","2"
"21","Thus spoke St .","3"
"22","Alia-of-the-Knife: The Reverend Mother must combine the seductive wiles of a courtesan with the untouchable majesty of a virgin goddess, holding these attributes in tension so long as the powers of her youth endure .","3"
"23","For when youth and beauty have gone, she will find that the place-between, once occupied by tension, has become a wellspring of cunning and resourcefulness .","3"
"24","    Poor Paul, she whispered .","3"
"25","    The old woman's voice softened .","3"
"26","I've never even heard of a planet called Usul .","3"
"27","And I see that our fire  .","3"
"28","I've heard you talking to my mother .","3"
"29","    If there were a thing to be done for him, we'd have done it, the old woman growled .","3"
"30","But for your father, nothing .","3"
"31","    He stared across the big room bright with the light of noon pouring through the skylights, saw the boy seated with back to the door, intent on papers and charts spread across an ell table .","4"
"32","Shelter will mean a hollow out of the wind and hidden from view .","4"
"33","    Paul shrugged .","4"
"34","Yueh calls the Mystery of Life .","4"
"35","    Ah-h-h, hah! Gurney laughed, and he swung into Galacian Girls .","4"
"36","    What a dolt my father sends me for weaponry, Paul intoned .","4"
"37","    You see a need for an extra blade, eh? Halleck grunted  .","4"
"38","With each new shield contact, the smell of ozone grew stronger .","4"
"39","    Paul directed a parry downward, turned, saw Halleck's rapier catch against the table's edge .","4"
"40","He looked at the beet-colored inkvine scar on the man's jaw, remembering the story of how it had been put there by Beast Rabban in a Harkonnen slave pit on Giedi Prime .","4"
"41","He felt excitement that his father would be coming .","5"
"42","    Yueh watched Paul work the page adjustment, thought: I salve my own conscience .","5"
"43","-from Muad'Dib, Family Commentaries by the Princess Irulan .","5"
"44","And he wondered: Why don't I tell him what that old woman said? How did she seal my tongue? .","5"
"45","But almost anything else short of that    perhaps even dusting and a bit of soil poisoning .","5"
"46","    Disguised in Harkonnen livery, no doubt, the Duke said .","5"
"47","The Fremen! .","5"
"48","    Don't the Harkonnens know about the Fremen?  .","5"
"49","    We're negotiating with the Fremen right now, Paul said .","5"
"50","The Harkonnens know better than to endanger their shipping privileges .","5"
"51","The arched ceiling stood two stories above her with great crossbeams she felt sure had been shipped here to Arrakis across space at monstrous cost .","6"
"52","    No .","6"
"53","    Let's not go into that again, he said .","6"
"54"," She glanced down at her dress .","6"
"55"," Jessica said .","6"
"56","Do you know its meaning?  .","6"
"57","Knife, that's Death Maker in Chakobsa .","6"
"58","    Eighe-e-e-e-e-e! Mapes wailed .","6"
"59","You are ours, she muttered .","6"
"60","More'n you drew with your puny scratch .","6"
"61","    Good afternoon .","7"
"62","The ways of the Harkonnen cruelty were devious .","7"
"63","Yet another hole nearby produces the same result: a trickle that stops .","7"
"64","I've aroused her suspicions! Now I must use every trick my Wanna taught me .","7"
"65","The cargo handlers are his men .","7"
"66","It's not worthy .","7"
"67","The body, learning a thing is good for it, interprets the flavor as pleasurable--slightly euphoric .","7"
"68","Jessica, if I asked a personal question? .","7"
"69","    She whirled, head up, glaring .","7"
"70"," And he thought: if only there were some way not to do this thing that I must do .","7"
"71","Many have marked the speed with which Muad'Dib learned the necessities of Arrakis .","8"
"72","The Bene Gesserit, of course, know the basis of this speed .","8"
"73","For the others, we can say that Muad'Dib learned rapidly because his first training was in how to learn .","8"
"74","And the first lesson of all was the basic trust that he could learn .","8"
"75","It is shocking to find how many people do not believe they can learn, and how many more believe learning to be difficult .","8"
"76","Muad'Dib knew that every experience carries its lesson .","8"
"77","-from The Humanity of Muad'Dib by the Princess Irulan .","8"
"78","    Paul lay on the bed feigning sleep .","8"
"79","It had been easy to palm Dr .","8"
"80","Yueh's sleeping tablet, to pretend to swallow it .","8"
